Time,Elapsed Time (s),Voltage (V),Relay 1 Resistance,Relay 2 Resistance,Relay 4 Resistance,Relay 6 Resistance,Relay 7 Resistance,Relay 8 Resistance,MFC A Flow Rate,MFC B Flow Rate,MFC C Flow Rate,Cycle
37:02.1,0.341,1,12163499.82,0.999961002,94565509.31,12181003.87,-11319818.38,34338583.93,1000,0,0,Pre-Cycle
37:03.6,1.873,1,-13692766.63,0.999953002,-12855621.85,85325760.96,-34552972.64,-14497670.22,1000,0,0,Pre-Cycle
37:05.2,3.393,1,-13364797.63,0.999944003,-16066742.53,14173934.59,-17034646.26,35163821.21,1000,0,0,Pre-Cycle
37:06.7,4.928,1,89519504.06,0.999982,-11365603.39,-14977169.55,37717929.48,-13958715.42,1000,0,0,Pre-Cycle
37:08.3,6.501,1,17215707.13,0.999989,13510457.23,226368641.8,-11378206.93,12193093.73,1000,0,0,Pre-Cycle
37:09.8,8.012,1,-16265946.93,0.999961002,11305757.31,19378808.42,-2043200617,-106714827.8,1000,0,0,Pre-Cycle
37:11.4,9.549,1,12888345.17,0.999983,16632437.11,-45672235.94,25844294.33,-17602633.92,1000,0,0,Pre-Cycle
37:13.2,11.125,1,53308654.98,0.999973001,11697178.76,18381761.62,48412482.09,-14121126.5,950,0,49.99999619,Run-On Cycle (Repeat 1)
37:14.8,12.984,1,13544225.96,0.999973001,13390462.4,-1274873743,-17743530.4,12592510.88,950,0,49.99999619,Run-On Cycle (Repeat 1)
37:16.3,14.518,1,11476191.72,0.999994,81667053.22,-24837981.84,11502046.5,-12255394.58,950,0,49.99999619,Run-On Cycle (Repeat 1)
37:17.8,16.033,1,-22541479.7,0.999939004,-50721847.98,-13305777.95,11171991.01,-13961285.91,950,0,49.99999619,Run-On Cycle (Repeat 1)
37:19.3,17.574,1,-13276153.82,0.999958002,36774440.29,-29114709.04,11761660.3,-12233065.34,950,0,49.99999619,Run-On Cycle (Repeat 1)
37:20.8,19.11,1,-11529634.27,0.999997,-107825326,42204332.27,-11156950.06,11913445.96,950,0,49.99999619,Run-On Cycle (Repeat 1)
37:22.4,20.604,1,-243946587.4,0.999981,11355751.86,-17504830.02,25328805.89,12741926.17,950,0,49.99999619,Run-On Cycle (Repeat 1)
37:24.3,22.153,1,24538835.53,0.999989,-18559721.1,13888950.62,-23035078.97,-67638999.84,1000,0,0,Off Cycle (Repeat 1)
37:25.8,24.02,1,709577666.5,0.999911008,11291584.51,11940135.98,-11291589.61,13754688.97,1000,0,0,Off Cycle (Repeat 1)
37:27.3,25.559,1,-18303429.5,0.999988,-13217482.98,-50263178,-85052166.75,-15577612.42,1000,0,0,Off Cycle (Repeat 1)
37:28.9,27.087,1,-24953343.49,0.999988,13393825.21,-32445189.53,16712928.05,-13025533.04,1000,0,0,Off Cycle (Repeat 1)
37:30.4,28.625,1,-12767162.45,0.999979,-11684701.42,-24145695.12,380109045.7,-13952576.59,1000,0,0,Off Cycle (Repeat 1)
37:32.0,30.202,1,31275391.71,0.999967001,20617498.19,13026931.23,13853280.19,-12305116.18,1000,0,0,Off Cycle (Repeat 1)
37:33.5,31.78,1,55149806.18,0.999961002,23788804.89,-21852325.48,11350576.75,-12690112.16,1000,0,0,Off Cycle (Repeat 1)
37:35.4,33.278,1,-14749956.52,0.999967001,14139411.77,61430570.55,-14046843.7,12435313.06,900,0,99.99999237,Run-On Cycle (Repeat 2)
37:37.0,35.181,1,-12933424.94,0.999965001,-11416098.53,-22708321.6,145350168.2,-13238573.39,900,0,99.99999237,Run-On Cycle (Repeat 2)
37:38.5,36.716,1,12170977.4,0.999955002,-119971686.7,-12826072.43,101470901.9,3626126093,900,0,99.99999237,Run-On Cycle (Repeat 2)
37:40.0,38.251,1,12621570.97,0.999973001,19643625.35,-104140349.5,28649748.8,-13094001.18,900,0,99.99999237,Run-On Cycle (Repeat 2)
37:41.5,39.748,1,13230129.5,0.999981,-16877711.19,36395134.7,-11466129.23,12121060.79,900,0,99.99999237,Run-On Cycle (Repeat 2)
37:43.1,41.3,1,128097821.6,0.999974001,-11976578.6,-14057988.92,13099294.35,-13481369.56,900,0,99.99999237,Run-On Cycle (Repeat 2)
37:44.6,42.83,1,13670349.37,0.999952002,13372278.76,230642146.9,37002337.07,-17837057.06,900,0,99.99999237,Run-On Cycle (Repeat 2)
37:46.4,44.349,1,-62576538.93,0.999967001,-11495543.81,16031120.89,-22644394.24,13771363.69,1000,0,0,Off Cycle (Repeat 2)
37:48.0,46.197,1,13005384.36,0.999952002,13493297.27,35766888.59,43300840.38,130511926.5,1000,0,0,Off Cycle (Repeat 2)
37:49.5,47.726,1,13911477.65,0.999961002,11307664.71,13871247.36,-16079908.14,2962545134,1000,0,0,Off Cycle (Repeat 2)
37:51.1,49.295,1,13541843.42,0.999947003,86702521.05,-15466023.77,11138436.17,-12958425.35,1000,0,0,Off Cycle (Repeat 2)
37:52.6,50.817,1,26387166.76,0.999982,-62368674.96,31813982.37,-28985095.57,13966509.71,1000,0,0,Off Cycle (Repeat 2)
37:54.1,52.347,1,14034743.01,0.999958002,-14751007.42,-13633965.92,15818797.57,-12069105.77,1000,0,0,Off Cycle (Repeat 2)
37:55.6,53.881,1,11579300.84,0.999946003,-122363330.3,-15156509.91,15529170.46,42964683.46,1000,0,0,Off Cycle (Repeat 2)
