Time,Resistance,Cycle
0.341,12163499.818398949,Pre-Cycle
1.873,-13692766.631713595,Pre-Cycle
3.393,-13364797.630902512,Pre-Cycle
4.928,89519504.06194751,Pre-Cycle
6.501,17215707.129144832,Pre-Cycle
8.012,-16265946.931046862,Pre-Cycle
9.549,12888345.17256721,Pre-Cycle
11.125,53308654.979987934,Run-On Cycle (Repeat 1)
12.984,13544225.961030552,Run-On Cycle (Repeat 1)
14.518,11476191.722177006,Run-On Cycle (Repeat 1)
16.033,-22541479.703877088,Run-On Cycle (Repeat 1)
17.574,-13276153.823890757,Run-On Cycle (Repeat 1)
19.11,-11529634.273083076,Run-On Cycle (Repeat 1)
20.604,-243946587.40679407,Run-On Cycle (Repeat 1)
22.153,24538835.529191032,Off Cycle (Repeat 1)
24.02,709577666.4686944,Off Cycle (Repeat 1)
25.559,-18303429.4952811,Off Cycle (Repeat 1)
27.087,-24953343.48601702,Off Cycle (Repeat 1)
28.625,-12767162.449630352,Off Cycle (Repeat 1)
30.202,31275391.70864345,Off Cycle (Repeat 1)
31.78,55149806.17600619,Off Cycle (Repeat 1)
33.278,-14749956.524503144,Run-On Cycle (Repeat 2)
35.181,-12933424.936471015,Run-On Cycle (Repeat 2)
36.716,12170977.40372848,Run-On Cycle (Repeat 2)
38.251,12621570.971598435,Run-On Cycle (Repeat 2)
39.748,13230129.503122644,Run-On Cycle (Repeat 2)
41.3,128097821.6453038,Run-On Cycle (Repeat 2)
42.83,13670349.36765065,Run-On Cycle (Repeat 2)
44.349,-62576538.92917775,Off Cycle (Repeat 2)
46.197,13005384.359178543,Off Cycle (Repeat 2)
47.726,13911477.65072425,Off Cycle (Repeat 2)
49.295,13541843.41593542,Off Cycle (Repeat 2)
50.817,26387166.759769388,Off Cycle (Repeat 2)
52.347,14034743.006312126,Off Cycle (Repeat 2)
53.881,11579300.841815172,Off Cycle (Repeat 2)
